filename,tokens,types,mean_token,median_token,sd_token
ghazaleh_petter-002,2235,633,5.943166890380313,5.017,4.413405733103264
greta_rebecca-002,1891,524,6.088887361184558,4.972,4.599844219823774
alexander_petter-001,2177,623,6.663799265043639,5.714,4.717033799783003
alexander_petter-002,2234,642,6.866053267681289,5.797499999999999,5.144916555221136
greta_rebecca-001,1722,486,6.155553426248548,5.022,4.782040780511182
ghazaleh_hel,2476,980,7.776258077544426,6.429,5.972700701361877
alexander,2236,689,6.6611288014311265,5.7365,4.8116574224141475
david_hel,890,358,6.8350011235955055,5.657,5.379818767153264
ghazaleh_petter-001_hel,2815,692,6.0826927175843695,5.346,4.274881927890758
greta,1232,333,7.094037337662337,5.827,5.047285757683014
